row_index,cluster_id
0,2
1,0
2,2
3,0
4,0
5,0
6,2
7,3
8,2
9,2
10,3
11,2
12,0
13,0
14,0
15,2
16,2
17,2
18,0
19,2
20,0
21,2
22,2
23,2
24,2
25,1
26,2
27,2
28,1
29,2
30,2
31,2
32,2
33,2
34,0
35,2
36,2
37,0
38,0
39,0
40,2
41,2
42,0
43,0
44,0
45,0
46,0
47,0
48,2
49,0
50,0
51,0
52,2
53,2
54,2
55,2
56,2
57,2
58,3
59,2
60,1
61,2
62,1
63,3
64,2
65,3
66,3
67,0
68,2
69,3
70,1
71,0
72,2
73,2
74,3
75,0
76,0
77,2
78,2
79,0
80,3
81,1
82,2
83,3
84,1
85,2
86,0
87,2
88,2
89,3
90,2
91,0
92,3
93,3
94,1
95,2
96,2
97,0
98,0
99,3
100,3
101,2
102,0
103,0
104,2
105,1
106,1
107,2
108,1
109,2
110,2
111,1
112,3
113,0
114,1
115,0
116,3
117,2
118,0
119,2
120,0
121,0
122,0
123,2
124,1
125,2
126,2
127,1
128,1
129,0
130,0
131,0
132,2
133,3
134,2
135,1
136,2
137,2
138,3
139,2
140,3
141,1
142,2
143,1
144,3
145,0
146,1
147,3
148,3
149,3
150,3
151,0
152,1
153,0
154,0
155,2
156,0
157,1
158,3
159,3
160,2
161,2
162,1
163,0
164,2
165,0
166,2
167,3
168,1
169,3
170,0
171,1
172,0
173,2
174,1
175,3
176,0
177,2
178,3
179,3
180,1
181,1
182,0
183,0
184,3
185,3
186,1
187,2
188,1
189,3
190,3
191,2
192,2
193,3
194,2
195,2
196,2
197,1
198,2
199,0
200,1
201,2
202,1
203,1
204,0
205,0
206,1
207,3
208,2
209,1
210,3
211,2
212,3
213,2
214,0
215,0
216,3
217,3
218,3
219,0
220,0
221,2
222,1
223,3
224,0
225,3
226,2
227,1
228,2
229,3
230,3
231,0
232,1
233,2
234,0
235,0
236,2
237,1
238,1
239,3
240,2
241,2
242,1
243,3
244,1
245,1
246,1
247,2
248,1
249,0
250,1
251,0
252,3
253,3
254,1
255,1
256,3
257,1
258,1
259,0
260,3
261,2
262,1
263,2
264,3
265,3
266,1
267,2
268,2
269,1
270,0
271,0
272,0
273,3
274,3
275,2
276,0
277,2
278,1
279,1
280,1
281,0
282,0
283,2
284,3
285,2
286,0
287,2
288,3
289,2
290,1
291,3
292,2
293,1
294,2
295,2
296,2
297,3
298,1
299,3
300,3
301,3
302,1
303,3
304,3
305,0
306,2
307,0
308,0
309,1
310,0
311,1
312,3
313,3
314,2
315,1
316,3
317,3
318,1
319,1
320,0
321,3
322,3
323,2
324,3
325,3
326,3
